Title,Price,Page
Tecno Spark 40 - IPS LCD - 6.67 Inches Display - 6GB RAM 128GB ROM - 8MP Front Camera - 50MP Rear Camera - Mediatek Helio G81 Chipset - Dual SIM - 5200mAh Battery,"Rs. 44,999",5
Nokia X1-01 – PTA Approved – Dual Sim – Super Loud Speaker (Boombox) – Dedicated Music Keys – Long Battery – Rough & Tough,"Rs. 4,799",5
Samsung Galaxy S26 Ultra - 512 GB,"Rs. 489,999",5
Google Pixel 6a | 6GB ram | 128GB storage | dual sim approved | 4410mAh battery | original phone without box,"Rs. 48,999",5
Vivo Y17 - 6.35 Inches IPS LCD Display - 8GB RAM - 256GB Storage - Official PTA Approved - Fingerprint Sensor - Helio P35 Processor - (Phone and Box. No Charger and No Accessories Included - Mix Color),"Rs. 18,999",5
Realme GT7 12GB RAM 512GB ROM - PTA APPROVED,"Rs. 199,999",5
(Official PTA Approved) OPPO F11 (CPH1911) 6.53 Inches IPS LCD - 8GB RAM / 256GB ROM (128GB Usable + 128GB System Reserved) - 48MP + 5MP + 16MP Camera - Dual SIM (WIth Box Only Charger Accessoires Not Included - Multi Color),"Rs. 20,999",5
Apple iPhone 17 Air - 256GB,"Rs. 428,500",5
ITEL CITY 200 = 4GB RAM = 128GB ROM = 5200mAh BATTERY,"Rs. 34,999",5
"OPPO RENO2 Z (CPH1945, CPH1951, CPH1917) 6.53 Inches AMOLED Display - 8GB RAM 256GB ROM - In-Screen FingerPrint - Motorized pop-up Camera - Dual SIM (WIth Box Only - Charger Accessoires Not Included - Multi Color)","Rs. 32,999",5
Google Pixel 6A | 128GB Storage | 6GB RAM | Google Tensor | Android 12 | 12MP Dual Camera | 4410 mAh Battery | Official PTA Approved,"Rs. 55,600",5
Apple iPhone 12 Pro - 128GB - Factory Unlock - Non Approved - Daraz Like New Phones (Mobile Phones) - Used Phone,"Rs. 94,499",5
Google Pixel 6a | 6GB Ram | 128GB storage | official PTA approved | just like new condition without box,"Rs. 55,499",5
BALMUDA A101BM 5G Cellphone | 128GB Storage | 6GB RAM | Qualcomm Snapdragon 765 | Single SIM | Official PTA Approved,"Rs. 32,428",5
Itel City 200 - 6.78 Inches Display - 4GB RAM 128GB ROM - 8MP Front Camera - 50MP Rear Camera - Dual SIM - 5200mAh Battery,"Rs. 30,699",5
Vivo Y31d 8GB RAM 128GB ROM Front Camera 8 MP Back Camera 50 MP 7200 mAh Battery Health One Year Brand Warrenty,"Rs. 63,999",5
Apple iPhone 11 Pro 256 GB Factory Unlocked - PTA Approved - With Charger - Daraz Like New Phones (Mobile Phones) - Used Phone,"Rs. 94,999",5
Google Pixel 7A | official PTA approved | 8GB Ram | 128GB Storage | just like new condition without box,"Rs. 64,999",5
OPPO A6s Pro 8GB+256GB,"Rs. 92,499",5
Apple iPhone 15 - 128GB,"Rs. 295,000",5
Original Vivo Mobile Phone Y85 Global Variant 4GB 64GB – Dual Sim Approved - Imported Model | Superior to Local | +Free Shockproof Jelly Cover | 13MP Dual Camera | with Charger & Handsfree | Best Discounted Price in Pakistan | Vivo Y85 Globally Customized,"Rs. 14,999",5
Global Variant Vivo Y17 with Charger Handsfree Jelly Cover Sim Eject Tool - 8/256 (For user 4/128) ) - 5000 mah battery - Dual sim Approved - Vivo Mobile Phone Low Price - Installment Mobile - Budget Phone - Globally Customized,"Rs. 19,999",5
Google Pixel 7A | 128GB Storage | 8GB RAM | Google Tensor G2 | 64 MP Dual Camera | 4385 mAh Battery | Dual SIM | Official PTA Approved,"Rs. 62,436",5
Samsung Galaxy Z Flip 6 12GB RAM 512GB ROM 50 MP + 12 MP Back Camera 4000 mAh Battery 1 Year Samsung PK Warranty,"Rs. 335,499",5
Vivo V50 Lite 5G 12GB + 12GB Expandable RAM 256GB ROM 6.77″ AMOLED Display 120 Hz IP65 6500 mAh Battery 90W Fast Charge,"Rs. 104,999",5
Vivo Y31d - 6.75'' Display 6GB RAM 128GB ROM 7200mAh Battery 44w Fast Charge PTA Approved 1 Year Official Brand Warranty,"Rs. 57,999",5
Apple iPhone 13 - 128GB,"Rs. 189,999",5
Google Pixel 8 Pro | 12GB RAM | 256GB & 128GB storage | dual sim approved | 5050 mAh battery | OLED display | 2023 model new phone without box | Al-Aswad Tech,"Rs. 119,999",5
Samsung Galaxy A56 12/256GB - PTA APPROVED,"Rs. 123,999",5
Google Pixel 9A | 8GB Ram | 128GB storage | new condition | dual sim approved | without box,"Rs. 124,999",5
