Title,Price,Page
"Moto G Pure - 6.5 Inches HD+ Display - 3GB RAM + 32GB ROM - SD Card Slot - Original American Stock (Phone + Universal Box, No Charger and Accessories) - NON PTA","Rs. 10,999",1
"Y17 DUAL SIM, 5000 MH BATTERY","Rs. 16,500",1
Google Pixel 6A | 128GB Storage | 6GB RAM | Google Tensor | Android 12 | 12MP Dual Camera | 4410 mAh Battery | Official PTA Approved,"Rs. 55,600",1
ITEL A100C = 4GB RAM = 64GB ROM = 5000mAh BATTERY,"Rs. 28,999",1
Huawei P10 Lite - 4gb - 64gb - PTA Approved,"Rs. 16,359",1
Realme Note 60X 4GB/64GB,"Rs. 29,999",1
Google Pixel 7A | 128GB Storage | 8GB RAM | Google Tensor G2 | 64 MP Dual Camera | 4385 mAh Battery | Dual SIM | Official PTA Approved,"Rs. 56,810",1
"Samsung Galaxy S24 Ultra (12GB RAM, 256GB Storage)","Rs. 350,000",2
Google Pixel 9 PRO XL | 16GB RAM | 256GB STORAGE | Dual sim approved | flagship model |,"Rs. 199,999",2
Apple Iphone 15 Pro 256GB - Non Approved - Factory Unllock - Free Charger - Daraz Like New Phones (Mobile Phones) - Used Phone,"Rs. 209,999",2
Samsung Galaxy S23 Ultra Official PTA Approved Dual SIM - 256GB and 512GB,"Rs. 260,000",2
"Motorola Moto Edge+ 2022 - 8/12GB RAM, 256GB ROM, NON PTA","Rs. 60,000",2
Used Apple iPhone 14 Pro Max -256GB - (Non approved)- Good condition - (FREE CHARGER AND COVER) - Daraz Like New Phones,"Rs. 169,999",2
Tecno Spark 40 Pro - 6.78 Inches Display - 8GB RAM 256GB ROM - 13MP Front Camera - 50MP Rear Camera - Dual SIM - 5200mAh Battery,"Rs. 59,999",2
Daraz Like New - Apple Iphone 14 - Factory Unlock - 128GB - Non Approved - With Charger,"Rs. 210,000",2
Tecno Camon 40 Pro 8GB+256GB PTA APPROVED,"Rs. 66,999",2
Infinix Note 60 8GB+256GB,"Rs. 82,999",2
realme 16 5G | 8GB RAM + 256GB ROM,"Rs. 129,999",2
Apple iPhone 17 Pro Max - 256GB - PTA APPROVED,"Rs. 565,000",2
Motorola | Moto G Stylus 5G 2023 | 128GB Storage | 4GB RAM | Qualcomm SM6450 Snapdragon 6 Gen 1 | 5000 mAh Battery | 50MP Camera | Non PTA Approved | SIM Lock | Mobile Phone,"Rs. 21,000",2
Tecno Camon 50 8GB + 256GB,"Rs. 73,998",2
Samsung Galaxy A07 4GB+64GB - PTA APPROVED,"Rs. 34,999",2
Vivo Y31d - 8GB RAM 256GB ROM 6.75'' Display 7200mAh Battery 44w Fast Charge PTA Approved 1 Year Official Brand Warranty,"Rs. 72,999",2
Infinix Hot 60i 8GB+256GB,"Rs. 42,448",2
Vivo Y11d - 6.74'' 120Hz Display 4GB RAM 128GB ROM 50MP Camera 6500mAh Battery PTA Approved 1Year Official Brand Warranty,"Rs. 43,999",2
Tecno Camon 50 PRO 8GB/256GB,"Rs. 83,799",2
vivo Y31d - 7200 mAh BlueVolt Battery - Snapdragon 6s Gen 2 4G - IP68 & 69 Dust and Waterproof - OriginOS 6.0 New System,"Rs. 65,999",2
OPPO A6 256GB,"Rs. 60,299",2
Google Pixel 9 Pro XL Official PTA Approved 16 GB - 128/256 GB Dual Sim,"Rs. 208,000",2
Infinix Hot 60i 6GB+128GB PTA APPROVED,"Rs. 41,999",2
Google Pixel 9 12 GB - 128 GB Dual Sim,"Rs. 152,000",2
Vivo Y31d 8GB RAM 128GB ROM Front Camera 8 MP Back Camera 50 MP 7200 mAh Battery Health One Year Brand Warrenty,"Rs. 63,999",2
